Date,Open,High,Low,Close,Adj Close,Volume
2011-01-12,45.098000,45.198002,45.013000,45.098000,45.098000,0
2011-01-13,44.910000,45.259998,44.910000,44.910000,44.910000,0
2011-01-14,44.959999,45.458000,44.959999,44.959999,44.959999,0
2011-01-17,45.360001,45.647999,45.360001,45.417999,45.417999,0
2011-01-18,45.439999,45.560001,45.299999,45.439999,45.439999,0
2011-01-19,45.424999,45.537998,45.298000,45.320000,45.320000,0
2011-01-20,45.450001,45.842999,45.450001,45.299999,45.299999,0
2011-01-21,45.778000,45.778000,45.450001,45.778000,45.778000,0
2011-01-24,45.588001,45.682999,45.500000,45.588001,45.588001,0
2011-01-25,45.450001,45.818001,45.450001,45.450001,45.450001,0
2011-01-26,45.528000,45.528000,45.450001,45.610001,45.610001,0
2011-01-27,45.450001,45.662998,45.450001,45.450001,45.450001,0
2011-01-28,45.570000,45.853001,45.570000,45.688000,45.688000,0
2011-01-31,45.838001,46.009998,45.838001,45.838001,45.838001,0
2011-02-01,45.799999,45.865002,45.647999,45.799999,45.799999,0
2011-02-02,45.410000,45.682999,45.410000,45.410000,45.410000,0
2011-02-03,45.450001,45.682999,45.450001,45.450001,45.450001,0
2011-02-04,45.560001,45.680000,45.557999,45.560001,45.560001,0
2011-02-07,45.608002,45.610001,45.349998,45.608002,45.608002,0
2011-02-08,45.310001,45.404999,45.230000,45.310001,45.310001,0
2011-02-09,45.150002,45.493000,45.150002,45.150002,45.150002,0
2011-02-10,45.349998,45.752998,45.349998,45.349998,45.349998,0
2011-02-11,45.630001,45.775002,45.608002,45.630001,45.630001,0
2011-02-14,45.685001,45.685001,45.417999,45.608002,45.608002,0
2011-02-15,45.349998,45.540001,45.349998,45.349998,45.349998,0
2011-02-16,45.333000,45.507999,45.333000,45.410000,45.410000,0
2011-02-17,45.310001,45.450001,45.252998,45.310001,45.310001,0
2011-02-18,45.334999,45.334999,45.099998,45.209999,45.209999,0
2011-02-21,45.195000,45.195000,44.928001,45.108002,45.108002,0
2011-02-22,44.917999,45.334999,44.917999,44.917999,44.917999,0
2011-02-23,45.259998,45.285000,45.048000,45.150002,45.150002,0
2011-02-24,45.049999,45.490002,45.049999,45.049999,45.049999,0
2011-02-25,45.465000,45.465000,45.268002,45.400002,45.400002,0
2011-02-28,45.250000,45.302502,45.169998,45.250000,45.250000,0
2011-03-01,45.259998,45.259998,44.849998,45.099998,45.099998,0
2011-03-02,44.813000,44.813000,44.750000,44.830002,44.830002,0
2011-03-03,44.945000,45.080002,44.935001,44.810001,44.810001,0
2011-03-04,44.860001,45.040001,44.860001,44.849998,44.849998,0
2011-03-07,44.980000,45.182999,44.980000,44.903000,44.903000,0
2011-03-08,45.029999,45.115002,44.985001,44.970001,44.970001,0
2011-03-09,44.900002,45.029999,44.849998,44.900002,44.900002,0
2011-03-10,44.869999,45.178001,44.869999,44.869999,44.869999,0
2011-03-11,45.110001,45.285000,45.049999,45.110001,45.110001,0
2011-03-14,45.237999,45.237999,44.990002,45.237999,45.237999,0
2011-03-15,45.070000,45.360001,45.070000,44.950001,44.950001,0
2011-03-16,45.240002,45.240002,44.993000,45.160000,45.160000,0
2011-03-17,45.020000,45.262501,45.020000,45.020000,45.020000,0
2011-03-18,45.180000,45.180000,44.950001,45.049999,45.049999,0
2011-03-21,44.998001,45.083000,44.900002,44.998001,44.998001,0
2011-03-22,45.009998,45.009998,44.900002,44.910000,44.910000,0
2011-03-23,44.950001,45.009998,44.750000,44.849998,44.849998,0
2011-03-24,44.750000,44.869999,44.698002,44.750000,44.750000,0
2011-03-25,44.599998,44.700001,44.549999,44.599998,44.599998,0
2011-03-28,44.693001,44.893002,44.693001,44.693001,44.693001,0
2011-03-29,44.700001,44.820000,44.650002,44.700001,44.700001,0
2011-03-30,44.779999,44.790001,44.599998,44.660000,44.660000,0
2011-03-31,44.744999,44.744999,44.389999,44.610001,44.610001,0
2011-04-01,44.548000,44.548000,44.400002,44.450001,44.450001,0
2011-04-04,44.264999,44.428001,44.264999,44.448002,44.448002,0
2011-04-05,44.318001,44.465000,44.299999,44.318001,44.318001,0
2011-04-06,44.299999,44.299999,44.049999,44.299999,44.299999,0
2011-04-07,44.049999,44.270000,44.049999,44.049999,44.049999,0
2011-04-08,44.195000,44.195000,43.930000,44.099998,44.099998,0
2011-04-11,44.063000,44.389999,44.055000,44.063000,44.063000,0
2011-04-12,44.159000,44.209999,44.159000,44.259998,44.259998,0
2011-04-13,44.389999,44.592999,44.389999,44.188000,44.188000,0
2011-04-14,44.467999,44.467999,44.270000,44.419998,44.419998,0
2011-04-15,null,null,null,null,null,null
2011-04-18,44.320000,44.522999,44.252998,44.272999,44.272999,0
2011-04-19,44.450001,44.689999,44.400002,44.360001,44.360001,0
2011-04-20,44.480000,44.480000,44.292999,44.410000,44.410000,0
2011-04-21,44.259998,44.443001,44.250000,44.259998,44.259998,0
2011-04-22,44.259998,44.443001,44.250000,44.259998,44.259998,0
2011-04-25,44.365002,44.529999,44.365002,44.268002,44.268002,0
2011-04-26,44.485001,44.615002,44.400002,44.410000,44.410000,0
2011-04-27,44.410000,44.480000,44.349998,44.410000,44.410000,0
2011-04-28,44.330002,44.463001,44.259998,44.330002,44.330002,0
